request_id,provider_id,app_type,model,request_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,input_cost_usd,output_cost_usd,cache_read_cost_usd,cache_creation_cost_usd,total_cost_usd,latency_ms,first_token_ms,duration_ms,status_code,error_message,session_id,provider_type,is_streaming,cost_multiplier,created_at,data_source,pricing_model,input_token_semantics
session:msg_20260906110332c4fa6330ac984159,_session,claude,glm-5.3,glm-5.3,483,255,39744,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663817,session_log,,0
session:msg_202609061103583266a280f49e44b1,_session,claude,glm-5.3,glm-5.3,502,802,40192,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663842,session_log,,0
session:msg_20260906110409dbbdd778406d4674,_session,claude,glm-5.3,glm-5.3,1001,64,40640,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663854,session_log,,0
session:msg_202609061104140bb5277359fa4e0d,_session,claude,glm-5.3,glm-5.3,137,91,41600,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663859,session_log,,0
session:msg_20260906110419fb6dd684f1454c7c,_session,claude,glm-5.3,glm-5.3,144,83,41728,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663864,session_log,,0
session:msg_202609061104245ee828ad6534497c,_session,claude,glm-5.3,glm-5.3,135,19,41856,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663868,session_log,,0
session:msg_20260906110428812d7d2e2d4d493a,_session,claude,glm-5.3,glm-5.3,50,60,41984,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663876,session_log,,0
session:msg_202609061105105ca14e540ca54f45,_session,claude,glm-5.3,glm-5.3,449,8091,41984,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664041,session_log,,0
session:msg_20260906110722c5ce0e57099548c2,_session,claude,glm-5.3,glm-5.3,8115,1454,42432,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664061,session_log,,0
session:msg_20260906110741f467f5a6250148ab,_session,claude,glm-5.3,glm-5.3,1564,60,50496,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664065,session_log,,0
session:msg_202609061108060cf41565446e48e8,_session,claude,glm-5.3,glm-5.3,617,9021,52032,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664234,session_log,,0
session:msg_202609061110360b1c55fcdf044edc,_session,claude,glm-5.3,glm-5.3,9084,3478,52608,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664273,session_log,,0
session:msg_20260906111113d68de374f73e46b2,_session,claude,glm-5.3,glm-5.3,3598,2473,61632,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664310,session_log,,0
session:msg_20260906111154e4b5ab1eb716411c,_session,claude,glm-5.3,glm-5.3,2549,405,65216,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664321,session_log,,0
